OVCAR8,SW48,1
NCIH1435,TE4,1
NCIH1437,HCT15,1
NCIH2291,CCK81,1
RKO,NCIH196,1
RKO,KYM1,1
RKO,TE1,1
SNUC5,HSC4,1
SNUC5,KYSE180,1
NALM6,NCIH1568,1
NALM6,CL34,1
NCIH2228,HCT15,1
SNGM,NCIH2009,1
SNGM,COLO679,1
SNGM,L428,1
JHOS2,HCT15,1
IPC298,NCIH2172,1
IPC298,CL34,1
RL,HCT15,1
NCIH2172,KYSE150,1
NCIH661,NCIH2110,1
QGP1,HCT15,1
MDAMB231,CCK81,1
CAMA1,HCT15,1
CCK81,NCIH1944,1
CCK81,COLO678,1
CCK81,J82,1
CCK81,BT20,1
COLO679,NCIH650,1
VMRCRCW,HCT15,1
SW1417,HCT15,1
TCCSUP,HCT15,1
NCIH650,SW948,1
SW48,SW948,1
SW48,BT20,1
SW48,RVH421,1
MOLM16,HCT15,1
OPM2,SNGM,1
OPM2,CCK81,1
OPM2,SW48,1
NCIH1048,CL34,1
A2058,RKO,1
MFE296,NUGC3,1
MFE296,RCHACV,1
NCIH716,SNGM,1
SNUC1,SW48,1
MKN1,CCK81,1
NCIH23,CL34,1
NCIH441,SNGM,1
NCIH441,NCIH1155,1
SKMEL2,NCIH2110,1
LXF289,CCK81,1
HDQP1,HCT15,1
IGR1,IPC298,1
IGR1,NCIH2110,1
AGS,NALM6,1
NUGC3,NCIH2172,1
NCIH1975,CCK81,1
KYSE70,SNUC5,1
SNU1,IPC298,1
SNU1,EBC1,1
SNU1,KYSE150,1
OVCAR8,SNGM,1
OVCAR8,CCK81,1
RCHACV,NCIH650,1
RCHACV,CAL51,1
RCHACV,CL34,1
NCIH2030,RKO,1
NCIH2030,NCIH2172,1
NCIH2030,CCK81,1
RKO,CORL88,1
RKO,J82,1
RKO,AU565,1
RKO,L428,1
MDAMB453,NCIH650,1
SNUC5,KMS11,1
SNUC5,TE11,1
SNUC5,J82,1
SNUC5,AU565,1
NALM6,HCC15,1
NALM6,MELJUSO,1
SNU449,SNGM,1
TE10,SNGM,1
PATU8988T,HCT15,1
SNGM,HSC4,1
SNGM,NCIH1944,1
SNGM,SKMEL5,1
NCIH1793,NCIH1568,1
NCIH196,SW48,1
NCIH2172,CL34,1
KYM1,CCK81,1
SJSA1,CCK81,1
EBC1,CCK81,1
EBC1,SW48,1
CCK81,SW948,1
CCK81,GB1,1
HSC4,SW48,1
HCC2218,HCT15,1
NCIH838,SW48,1
NCIH1155,TE4,1
KYSE510,NCIH650,1
SNU423,HCT15,1
NCIH2110,CAL51,1
NCIH2110,TE4,1
HCT15,BT549,1
CAL51,CL34,1
A2780,NCIH650,1
NCIH2170,HCT15,1
MCF7,RKO,1
LCLC103H,CCK81,1
LCLC103H,SW48,1
NCIH1048,NALM6,1
NCIH1048,NCIH1793,1
NCIH358,NCIH23,1
NCIH358,NCIH1568,1
SKMEL30,SNUC5,1
SKMEL30,SW48,1
IALM,SNUC5,1
IALM,NCIH650,1
SNUC1,CCK81,1
MKN1,NCIH1155,1
NCIH23,AGS,1
NCIH23,MELJUSO,1
NCIH23,KYSE150,1
CORL23,SW48,1
SKMEL2,NALM6,1
8505C,SNUC5,1
MDST8,NCIH650,1
IGR1,SHP77,1
IGR1,CL34,1
HGC27,NCIH650,1
AGS,CAL51,1
NUGC3,CL34,1
NCIH1975,SNUC5,1
KYSE70,SNU1,1
OVCAR8,NCIH650,1
RCHACV,NCIH1793,1
RCHACV,SHP77,1
RCHACV,NCIH2172,1
UMUC3,HCT15,1
RKO,HSC4,1
MDAMB453,CCK81,1
SNUC5,CORL88,1
SNUC5,NCIH2009,1
SNUC5,TE6,1
SNUC5,TE1,1
KMS11,SNGM,1
NALM6,IPC298,1
NALM6,NCIH661,1
SNGM,NCIH196,1
SNGM,HCC44,1
SNGM,AU565,1
SNGM,RVH421,1
NCIH1793,TE4,1
HCC15,SHP77,1
KMRC1,HCT15,1
SHP77,NCIH2172,1
NCIH2172,NCIH838,1
SJSA1,SW48,1
HCC1806,HCT15,1
A101D,HCT15,1
MKN7,CCK81,1
MKN7,SW48,1
UACC257,CCK81,1
TE6,SW48,1
CCK81,LN229,1
CCK81,MDAMB157,1
CCK81,ABC1,1
CCK81,RVH421,1
NCIH1944,SW48,1
SUDHL4,HCT15,1
A2780,CCK81,1
OPM2,RKO,1
OCUM1,SNGM,1
MCF7,SNGM,1
NCIH1048,NCIH23,1
NCIH1048,NCIH2172,1
NCIH1048,NCIH2110,1
NCIH358,SHP77,1
SKMEL30,NCIH1155,1
IALM,NCIH1155,1
MFE296,CL34,1
NCIH716,NCIH2172,1
NCIH716,NCIH650,1
MKN1,SNGM,1
NCIH23,NUGC3,1
CORL23,RKO,1
CORL23,SNUC5,1
NCIH522,HCT15,1
NCIH441,NCIH2110,1
8505C,CCK81,1
LXF289,RKO,1
LXF289,NCIH1155,1
LXF289,NCIH650,1
MDST8,SNU1,1
IGR1,RCHACV,1
IGR1,NALM6,1
KARPAS422,RKO,1
KARPAS422,SNGM,1
HGC27,CL34,1
AGS,NUGC3,1
AGS,MDAMB453,1
NUGC3,RCHACV,1
NUGC3,KYSE510,1
NCIH1975,SW48,1
KYSE70,CCK81,1
SNU1,NCIH661,1
SNU1,NCIH446,1
